username,title,short_description,budget,category,offers,expiry_date,url,avatar_url_source,avatar_filename_for_web,full_description,requirements
ForSpa,Specjalistka/a ds ecommerce na rynku kosmetycznym,"Firma zarządzająca trzema sklepami z kosmetyki spa i wellness poszukuje osoby, do bieżącego zarządzania sklepami. Poniżej zakres obejmujący zlecenie (stałe): 

1. Zarządzanie sklepem internetowym:
	•	Aktualizacja oferty produktowej (dodawanie...",Do negocjacji,Obsługa sklepów internetowych,2,Znika za 30 dni,"https://useme.com/pl/jobs/specjalistkaa-ds-ecommerce-na-rynku-kosmetycznym,115650/",https://useme-prod-public.s3.amazonaws.com/avatars/075/182475_5G09o8I.png,ForSpa_a5824777779187d39ad36bd75e6f9a3a.png,"Firma zarządzająca trzema sklepami z kosmetyki spa i wellness poszukuje osoby, do bieżącego zarządzania sklepami. Poniżej zakres obejmujący zlecenie (stałe): 
1. Zarządzanie sklepem internetowym:
	•	Aktualizacja oferty produktowej (dodawanie nowych produktów, opisów, zdjęć).
	•	Ustalanie promocji i ofert sezonowych w cyklach miesięcznych wg wcześniej przygotowanej strategii sprzedaży.
2. Zarządzanie działaniami marketingowymi online:
	•	Planowanie i koordynacja kampanii reklamowych (Google Ads, Meta Ads.).
	•	Współpraca z content managerem META.
        •	Przygotowywanie cyklicznych newsletterów
        •.     Przygotowywanie artykułów blogowych
	•	Śledzenie efektywności kampanii (ROAS, konwersje, CPC).
	•	Wdrażanie strategii SEO (słowa kluczowe, opisy produktów, blog).
3. Trendy i konkurencja:
	•	Śledzenie trendów e-commerce i działań konkurencji.
Poszukujemy osoby ze znajmością branży beauty i kosmetyków premium.
Firma zarządzająca trzema sklepami z kosmetyki spa i wellness poszukuje osoby, do bieżącego zarządzania sklepami. Poniżej zakres obejmujący zlecenie (stałe):
1. Zarządzanie sklepem internetowym:
•	Aktualizacja oferty produktowej (dodawanie nowych produktów, opisów, zdjęć).
•	Ustalanie promocji i ofert sezonowych w cyklach miesięcznych wg wcześniej przygotowanej strategii sprzedaży.
2. Zarządzanie działaniami marketingowymi online:
•	Planowanie i koordynacja kampanii reklamowych (Google Ads, Meta Ads.).
•	Współpraca z content managerem META.
•	Przygotowywanie cyklicznych newsletterów
•.     Przygotowywanie artykułów blogowych
•	Śledzenie efektywności kampanii (ROAS, konwersje, CPC).
•	Wdrażanie strategii SEO (słowa kluczowe, opisy produktów, blog).
3. Trendy i konkurencja:
•	Śledzenie trendów e-commerce i działań konkurencji.
Poszukujemy osoby ze znajmością branży beauty i kosmetyków premium.",
e-group,PROWADZENIE KURSÓW ONLINE Z MATEMATYKI (POZIOM PODSTAWOWY MATURA),"Szukamy osoby, która stanie się twarzą naszych kursów maturalnych z matematyki – będzie prowadzić zajęcia w formie nagrań wideo, tłumaczyć zagadnienia, rozwiązywać zadania na ekranie i wspierać uczniów w drodze do zdanej matury.
Chcemy, by nasi...",Do negocjacji,Inne,0,Znika za 30 dni,"https://useme.com/pl/jobs/prowadzenie-kursow-online-z-matematyki-poziom-podstawowy-matura,115647/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Szukamy osoby, która stanie się twarzą naszych kursów maturalnych z matematyki – będzie prowadzić zajęcia w formie nagrań wideo, tłumaczyć zagadnienia, rozwiązywać zadania na ekranie i wspierać uczniów w drodze do zdanej matury.
Chcemy, by nasi kursanci czuli się zaopiekowani – szukamy osoby nie tylko ze znajomością matematyki, ale też z talentem komunikacyjnymi: mówiącej klarownie, z pasją i w sposób, który motywuje do działania.
Szukamy osoby, która stanie się twarzą naszych kursów maturalnych z matematyki – będzie prowadzić zajęcia w formie nagrań wideo, tłumaczyć zagadnienia, rozwiązywać zadania na ekranie i wspierać uczniów w drodze do zdanej matury.
Chcemy, by nasi kursanci czuli się zaopiekowani – szukamy osoby nie tylko ze znajomością matematyki, ale też z talentem komunikacyjnymi: mówiącej klarownie, z pasją i w sposób, który motywuje do działania.",
JMFM SPÓŁKA Z OGRANICZONĄ ODP,UGC przepisy dla dzieci,"Poszukuje osoby, która nagra 3 rolki, dotyczące przepisów dla niejadków. Z racji tematyki, wymagana są ujęcia dziecka jedzącego posiłek - nie stockowe 

Scenariusze w załączniku",Do negocjacji,Social media,0,Znika za 30 dni,"https://useme.com/pl/jobs/ugc-przepisy-dla-dzieci,115649/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Poszukuje osoby, która nagra 3 rolki, dotyczące przepisów dla niejadków. Z racji tematyki, wymagana są ujęcia dziecka jedzącego posiłek - nie stockowe 
Scenariusze w załączniku
Poszukuje osoby, która nagra 3 rolki, dotyczące przepisów dla niejadków. Z racji tematyki, wymagana są ujęcia dziecka jedzącego posiłek - nie stockowe
Scenariusze w załączniku",
JMFM SPÓŁKA Z OGRANICZONĄ ODP,Banery reklamowe,"Posiadam ""amatorskie"" banery reklamowe, które jednak sprzedawały. Poszukuje osoby, która zrobi podobne jeśli chodzi o układ, jednak nada im profesionalizmu tzn. banery będą w brandzie marki, oraz rozłożenie obiektów takich jak zdjęcia, napisy itp...",Do negocjacji,Grafika 2D,3,Znika za 30 dni,"https://useme.com/pl/jobs/banery-reklamowe,115648/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Posiadam ""amatorskie"" banery reklamowe, które jednak sprzedawały. Poszukuje osoby, która zrobi podobne jeśli chodzi o układ, jednak nada im profesionalizmu tzn. banery będą w brandzie marki, oraz rozłożenie obiektów takich jak zdjęcia, napisy itp będą strategicznie przemyślane. 
Do zrobienia na początek będą 3 banery. 
Każdy baner powinien być w trzech formatach 
1200 × 1200
1200 × 628
1080 × 1920
Posiadam ""amatorskie"" banery reklamowe, które jednak sprzedawały. Poszukuje osoby, która zrobi podobne jeśli chodzi o układ, jednak nada im profesionalizmu tzn. banery będą w brandzie marki, oraz rozłożenie obiektów takich jak zdjęcia, napisy itp będą strategicznie przemyślane.
Do zrobienia na początek będą 3 banery.
Każdy baner powinien być w trzech formatach
1200 × 1200
1200 × 628
1080 × 1920",
SMMASH,Praca zdalna z domu – obsługa klienta i sklepu internetowego,"Opis stanowiska – co będziesz robić:
	•	Odpowiadanie na e-maile klientów (np. pytania o zamówienia, wymiany, dostawy)
	•	Odbieranie telefonów od klientów (sporadycznie – kilka razy dziennie)
	•	Dodawanie produktów do sklepu internetowego...","3000,00 PLN",Obsługa klienta,4,Znika za 90 dni,"https://useme.com/pl/jobs/praca-zdalna-z-domu-obsuga-klienta-i-sklepu-internetowego,115646/",https://useme-prod-public.s3.amazonaws.com/avatars/029/483029.png,SMMASH_697d02158d9e17c1b04014a226730cdb.png,"Opis stanowiska – co będziesz robić:
	•	Odpowiadanie na e-maile klientów (np. pytania o zamówienia, wymiany, dostawy)
	•	Odbieranie telefonów od klientów (sporadycznie – kilka razy dziennie)
	•	Dodawanie produktów do sklepu internetowego (opisy, zdjęcia, rozmiary – wszystkiego nauczymy)
	•	Wykonywanie prostych zadań administracyjnych w systemie sklepu
⸻
Co oferujemy:
	•	Praca w 100 procentach zdalna – z dowolnego miejsca w Polsce
	•	Laptop i telefon służbowy – sprzęt zapewniamy
	•	Stałe dni pracy: 2–3 dni w tygodniu (najlepiej poniedziałki i piątki)
	•	Stałe godziny: 7:00–15:00 lub 8:00–16:00
	•	Możliwość zwiększenia liczby dni i godzin w przyszłości
	•	Wdrożenie na początku – pomożemy wejść w system
⸻
Wynagrodzenie:
	•	32 zł brutto za godzinę
⸻
Kogo szukamy:
	•	Osoby posiadającej jakiekolwiek doświadczenie w pracy z klientem, obsłudze sklepu online, e-mailach lub zadaniach administracyjnych
	•	Kogoś, kto potrafi pracować samodzielnie, punktualnie i odpowiedzialnie
	•	Osoby, która umie pisać poprawne wiadomości e-mail i dobrze radzi sobie z komputerem
	•	Kogoś, kto potrafi kulturalnie rozmawiać z klientem przez telefon
Informacja od Useme:
Rozliczenie realizacji tego zlecenia będzie możliwe dla osób posiadających:
- ważną legitymację studencką lub szkolną (do 26. r.ż.);
- zatrudnienie na podstawie umowy o pracę lub zlecenia (z co najmniej minimalnym wynagrodzeniem);
- własną działalność gospodarczą.
Opis stanowiska – co będziesz robić:
•	Odpowiadanie na e-maile klientów (np. pytania o zamówienia, wymiany, dostawy)
•	Odbieranie telefonów od klientów (sporadycznie – kilka razy dziennie)
•	Dodawanie produktów do sklepu internetowego (opisy, zdjęcia, rozmiary – wszystkiego nauczymy)
•	Wykonywanie prostych zadań administracyjnych w systemie sklepu
⸻
Co oferujemy:
•	Praca w 100 procentach zdalna – z dowolnego miejsca w Polsce
•	Laptop i telefon służbowy – sprzęt zapewniamy
•	Stałe dni pracy: 2–3 dni w tygodniu (najlepiej poniedziałki i piątki)
•	Stałe godziny: 7:00–15:00 lub 8:00–16:00
•	Możliwość zwiększenia liczby dni i godzin w przyszłości
•	Wdrożenie na początku – pomożemy wejść w system
⸻
Wynagrodzenie:
•	32 zł brutto za godzinę
⸻
Kogo szukamy:
•	Osoby posiadającej jakiekolwiek doświadczenie w pracy z klientem, obsłudze sklepu online, e-mailach lub zadaniach administracyjnych
•	Kogoś, kto potrafi pracować samodzielnie, punktualnie i odpowiedzialnie
•	Osoby, która umie pisać poprawne wiadomości e-mail i dobrze radzi sobie z komputerem
•	Kogoś, kto potrafi kulturalnie rozmawiać z klientem przez telefon
Informacja od Useme:
Rozliczenie realizacji tego zlecenia będzie możliwe dla osób posiadających:
- ważną legitymację studencką lub szkolną (do 26. r.ż.);
- zatrudnienie na podstawie umowy o pracę lub zlecenia (z co najmniej minimalnym wynagrodzeniem);
- własną działalność gospodarczą.",
Łukasz Kaim,Tłumaczenie instrukcji,Tłumaczenie instrukcji z języka angielskiego i chińskiego na Polski,"400,00 PLN",Język polski,1,Znika za 30 dni,"https://useme.com/pl/jobs/tumaczenie-instrukcji,115645/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Tłumaczenie instrukcji z języka angielskiego i chińskiego na Polski
Tłumaczenie instrukcji z języka angielskiego i chińskiego na Polski",
Dorota,Kamerzysta do krótkich ujęć filmowych na potrzeby social mediów - PUŁTUSK,"Lokalizacja: Pułtusk i okolice
Termin realizacji: do ustalenia

📌 Zakres zlecenia:
Dzień 1: Nagranie mojej pracy w trakcie realizacji zlecenia.

Dzień 2: Ujęcia efektów końcowych wykonanej pracy (tu zależy mi na większej ilości ujęć)

Wymagania:...",Do negocjacji,Social media,0,Znika za 30 dni,"https://useme.com/pl/jobs/kamerzysta-do-krotkich-ujec-filmowych-na-potrzeby-social-mediow-putusk,115643/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Lokalizacja: Pułtusk i okolice
Termin realizacji: do ustalenia
📌 Zakres zlecenia:
Dzień 1: Nagranie mojej pracy w trakcie realizacji zlecenia.
Dzień 2: Ujęcia efektów końcowych wykonanej pracy (tu zależy mi na większej ilości ujęć)
Wymagania: 

portfolio z przykładami filmów – mile widziane ujęcia pod formę Reels lub TikTok


Własny sprzęt do nagrywania.


Umiejętność uchwycenia detali oraz estetyki przestrzeni.


Mile widziane doświadczenie w montażu wideo.

Atutem będzie również umiejętność szybkiego montażu oraz przygotowania materiałów pod trendy formaty krótkiego wideo.
Zapraszam do składania ofert do 31.05.2025r
Lokalizacja: Pułtusk i okolice
Termin realizacji: do ustalenia
📌 Zakres zlecenia:
Dzień 1: Nagranie mojej pracy w trakcie realizacji zlecenia.
Dzień 2: Ujęcia efektów końcowych wykonanej pracy (tu zależy mi na większej ilości ujęć)
Wymagania:
Atutem będzie również umiejętność szybkiego montażu oraz przygotowania materiałów pod trendy formaty krótkiego wideo.
Zapraszam do składania ofert do 31.05.2025r",
xkowalczyk,Stworzenie sklepu internetowego z integracjami,"Stworzenie sklepu internetowego woocommerce wraz z integracją baselinker, płatnościami etc.",Do negocjacji,Sklepy internetowe,4,Znika za 30 dni,"https://useme.com/pl/jobs/stworzenie-sklepu-internetowego-z-integracjami,115642/",https://useme-prod-public.s3.amazonaws.com/avatars/011/222011_D6rRhCL.png,xkowalczyk_73117275e83e49216f2696fb91ef5e9c.png,"Stworzenie sklepu internetowego woocommerce wraz z integracją baselinker, płatnościami etc.
Stworzenie sklepu internetowego woocommerce wraz z integracją baselinker, płatnościami etc.",
Sandra,Kampanie Google Ads - ustawianie oraz optymalizacja,"Poszukujemy do stałej współpracy osoby, które ma doświadczenie i super vibe dla kampanii Google Ads. Jeżeli kochasz Ads, mamy fajne budżety i wspólnie możemy działać.",Do negocjacji,Kampanie reklamowe,3,Znika za 30 dni,"https://useme.com/pl/jobs/kampanie-google-ads-ustawianie-oraz-optymalizacja,115641/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Poszukujemy do stałej współpracy osoby, które ma doświadczenie i super vibe dla kampanii Google Ads. Jeżeli kochasz Ads, mamy fajne budżety i wspólnie możemy działać.
Poszukujemy do stałej współpracy osoby, które ma doświadczenie i super vibe dla kampanii Google Ads. Jeżeli kochasz Ads, mamy fajne budżety i wspólnie możemy działać.",
Kacper Ostrowski,Kompletna przebudowa strony w WordPress,"Dzień Dobry,

Poszukujemy w firmie kogoś kto zajął by się kompleksową przebudową naszej strony która jest w technologii WordPress, chcielibyśmy pełnej przebudowy od podstaw. Interesuję nas dłuższa współpraca i ewentualnie wprowadzanie zmian i...",Do negocjacji,Strony internetowe,8,Znika za 30 dni,"https://useme.com/pl/jobs/kompletna-przebudowa-strony-w-wordpress,115640/",https://useme-prod-public.s3.amazonaws.com/avatars/053/442653_OcrhQ73.png,Kacper_Ostrowski_1636eef3eb5c09bf60cd0673865c1202.png,"Dzień Dobry,
Poszukujemy w firmie kogoś kto zajął by się kompleksową przebudową naszej strony która jest w technologii WordPress, chcielibyśmy pełnej przebudowy od podstaw. Interesuję nas dłuższa współpraca i ewentualnie wprowadzanie zmian i aktualizowanie treści na stronie.
Poniżej strona do jakiej chcielibyśmy przysposobić naszą.
Strona przykład:
https://acosolutions.pl/
Dzień Dobry,
Poszukujemy w firmie kogoś kto zajął by się kompleksową przebudową naszej strony która jest w technologii WordPress, chcielibyśmy pełnej przebudowy od podstaw. Interesuję nas dłuższa współpraca i ewentualnie wprowadzanie zmian i aktualizowanie treści na stronie.
Poniżej strona do jakiej chcielibyśmy przysposobić naszą.
Strona przykład:
https://acosolutions.pl/",
alicjak,Kurs montażu filmów,"Cześć!
Szukam kogoś, kto nauczy mnie montowania filmów i krótkich rolek w stylu YouTube, Instagram Reels i TikTok. Zależy mi na praktycznej nauce – od podstaw, ale pod kątem nowoczesnych formatów i trendów.

Mile widziane:
	•	Doświadczenie w...",Do negocjacji,Video,2,Znika za 30 dni,"https://useme.com/pl/jobs/kurs-montazu-filmow,115639/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Cześć!
Szukam kogoś, kto nauczy mnie montowania filmów i krótkich rolek w stylu YouTube, Instagram Reels i TikTok. Zależy mi na praktycznej nauce – od podstaw, ale pod kątem nowoczesnych formatów i trendów.
Mile widziane:
	•	Doświadczenie w montażu filmów dla YouTuberów lub twórców internetowych
	•	Znajomość programów takich jak CapCut, Adobe Premiere Pro, DaVinci Resolve lub podobnych
	•	Znajomość rytmu, trendów, przejść, efektów i dynamicznego montażu
Forma nauki: zdalnie
Stawka do ustalenia – zależy mi na wartościowej, konkretnej nauce!
Jeśli jesteś zainteresowany/a lub znasz kogoś, kto mógłby pomóc – daj znać w wiadomości prywatnej!
Dzięki!
Cześć!
Szukam kogoś, kto nauczy mnie montowania filmów i krótkich rolek w stylu YouTube, Instagram Reels i TikTok. Zależy mi na praktycznej nauce – od podstaw, ale pod kątem nowoczesnych formatów i trendów.
Mile widziane:
•	Doświadczenie w montażu filmów dla YouTuberów lub twórców internetowych
•	Znajomość programów takich jak CapCut, Adobe Premiere Pro, DaVinci Resolve lub podobnych
•	Znajomość rytmu, trendów, przejść, efektów i dynamicznego montażu
Forma nauki: zdalnie
Stawka do ustalenia – zależy mi na wartościowej, konkretnej nauce!
Jeśli jesteś zainteresowany/a lub znasz kogoś, kto mógłby pomóc – daj znać w wiadomości prywatnej!
Dzięki!",
Wieszczy,Projekt plakatu do druku,"Szukam grafika do zaprojektowania plakatu. Plakat na bazie zdjęcia z zegarkiem, minimalistyczny. Paczkę z materiałami bazowymi mam już gotową, trzeba to zgrabnie ubrać w całość.","200,00 PLN",Grafika 2D,5,Znika za 30 dni,"https://useme.com/pl/jobs/projekt-plakatu-do-druku,115638/",https://useme-prod-public.s3.amazonaws.com/avatars/009/285609_MmWZIa3.png,Wieszczy_f1dde0b2f03f335f0eaa2b1076d0477b.png,"Szukam grafika do zaprojektowania plakatu. Plakat na bazie zdjęcia z zegarkiem, minimalistyczny. Paczkę z materiałami bazowymi mam już gotową, trzeba to zgrabnie ubrać w całość.
Szukam grafika do zaprojektowania plakatu. Plakat na bazie zdjęcia z zegarkiem, minimalistyczny. Paczkę z materiałami bazowymi mam już gotową, trzeba to zgrabnie ubrać w całość.",
Olek99,Automatyzacja procesu,"Chcę stworzyć system automatycznego dodawania serwerów na Disboard oraz ich późniejszej konfiguracji na PebbleHost, gdzie działa gotowa auto-bumpiarka. Kluczowym celem jest pełna automatyzacja procesu, która obejmuje: Automatyczne tworzenie kont...",Do negocjacji,Oprogramowanie,3,Znika za 30 dni,"https://useme.com/pl/jobs/automatyzacja-procesu,115637/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Chcę stworzyć system automatycznego dodawania serwerów na Disboard oraz ich późniejszej konfiguracji na PebbleHost, gdzie działa gotowa auto-bumpiarka. Kluczowym celem jest pełna automatyzacja procesu, która obejmuje: Automatyczne tworzenie kont e-mail oraz kont Discord (zgodne z zasadami platformy). Rejestrację i dodawanie serwerów na Disboard, w tym integrację z systemem bumpowania. Konfigurację serwerów na PebbleHost, aby współpracowały z botem do bumpowania. Możliwie najwyższy poziom automatyzacji – tak, aby cały proces działał samodzielnie bez ingerencji człowieka.
Chcę stworzyć system automatycznego dodawania serwerów na Disboard oraz ich późniejszej konfiguracji na PebbleHost, gdzie działa gotowa auto-bumpiarka. Kluczowym celem jest pełna automatyzacja procesu, która obejmuje: Automatyczne tworzenie kont e-mail oraz kont Discord (zgodne z zasadami platformy). Rejestrację i dodawanie serwerów na Disboard, w tym integrację z systemem bumpowania. Konfigurację serwerów na PebbleHost, aby współpracowały z botem do bumpowania. Możliwie najwyższy poziom automatyzacji – tak, aby cały proces działał samodzielnie bez ingerencji człowieka.",
Szramka Magdalena,Pozyskanie leadów z branży OZE,"Zlecę pozyskanie leadów w woj. Wielkopolskim na produkty: fotowoltaika, magazyn energii, pompa ciepła, kotły. Szukam sprawdzonych leadów. Nie interesują mnie prefinansowania",Do negocjacji,Kampanie reklamowe,1,Znika za 30 dni,"https://useme.com/pl/jobs/pozyskanie-leadow-z-branzy-oze,115636/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Zlecę pozyskanie leadów w woj. Wielkopolskim na produkty: fotowoltaika, magazyn energii, pompa ciepła, kotły. Szukam sprawdzonych leadów. Nie interesują mnie prefinansowania
Zlecę pozyskanie leadów w woj. Wielkopolskim na produkty: fotowoltaika, magazyn energii, pompa ciepła, kotły. Szukam sprawdzonych leadów. Nie interesują mnie prefinansowania",
Max,Zestaw do rzucenia palenia,"Szukam kreatorki/kreatora, która\y nagra videorecenzje zestawu do rzucenia palenia, który nie zawiera chemikaliów oraz nikotyny. Produkt bazuje na odruchu palenia oraz nawyku ręka- usta. Interesują mnie 3 videorecenzje, ważne aby były naturalne,...",Do negocjacji,Video,0,Znika za 30 dni,"https://useme.com/pl/jobs/zestaw-do-rzucenia-palenia,115635/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Szukam kreatorki/kreatora, która\y nagra videorecenzje zestawu do rzucenia palenia, który nie zawiera chemikaliów oraz nikotyny. Produkt bazuje na odruchu palenia oraz nawyku ręka- usta. Interesują mnie 3 videorecenzje, ważne aby były naturalne, tak aby odbiorcy nie odczuwali, że jest to reklama.
Szukam kreatorki/kreatora, która\y nagra videorecenzje zestawu do rzucenia palenia, który nie zawiera chemikaliów oraz nikotyny. Produkt bazuje na odruchu palenia oraz nawyku ręka- usta. Interesują mnie 3 videorecenzje, ważne aby były naturalne, tak aby odbiorcy nie odczuwali, że jest to reklama.",
fabryka_naukowcow,Social Media Manager,"Szukamy doświadczonej i samodzielnej osoby do kompleksowego prowadzenia naszych mediów społecznościowych. Prowadzimy dynamiczne projekty edukacyjne i wakacyjne dla dzieci i młodzieży (m.in. programowanie, kolonie, obozy, rejsy żeglarskie)....",Do negocjacji,Social media,4,Znika za 30 dni,"https://useme.com/pl/jobs/social-media-manager,115634/",https://useme-prod-public.s3.amazonaws.com/avatars/088/238088.png,fabryka_naukowcow_64807363a75caa791b5afe8da52bafab.png,"Szukamy doświadczonej i samodzielnej osoby do kompleksowego prowadzenia naszych mediów społecznościowych. Prowadzimy dynamiczne projekty edukacyjne i wakacyjne dla dzieci i młodzieży (m.in. programowanie, kolonie, obozy, rejsy żeglarskie). Potrzebujemy kogoś, kto zadba o spójny wizerunek naszej marki w social mediach, stworzy angażujące treści i będzie regularnie publikował zaplanowany content. 
- Prowadzenie kont na Facebooku i Instagramie (docelowo także TikTok, YouTube Shorts)
- Tworzenie grafik, rolek, postów i relacji (stories) zgodnych z harmonogramem i celami kampanii 
- Publikowanie treści zgodnie z ustalonym planem tygodniowym
- Proponowanie nowych pomysłów na content – kreatywność mile widziana!
- Monitorowanie zaangażowania i reagowanie na komentarze / wiadomości
- Współpraca z osobą prowadzącą konta reklamowe 
- Tworzenie spójnej i atrakcyjnej komunikacji wizualnej i tekstowej
Szukamy osoby:
- z doświadczeniem w prowadzeniu profili firm/organizacji w social mediach (portfolio wymagane)
- Samodzielnej i dobrze zorganizowanej – oczekujemy regularnej publikacji i proaktywnego działania
- Z umiejętnością tworzenia estetycznych grafik i montażu krótkich wideo (np. Canva, CapCut)
-  Z „lekkim piórem” – potrafisz pisać językiem dopasowanym do rodziców i młodzieży
-  Kreatywnej i na bieżąco z trendami w social media
-  Mile widziane doświadczenie w branży edukacyjnej, turystycznej lub informatycznej (kursy programowania) 
Osoby zainteresowane prosimy o przesłanie:
-  kilka przykładów prowadzonych profili / postów / rolek (lub link do portfolio),
-  krótki opis swojego doświadczenia i dostępności czasowej,
-  informację o preferowanej formie współpracy i oczekiwaniach finansowych
Szukamy doświadczonej i samodzielnej osoby do kompleksowego prowadzenia naszych mediów społecznościowych. Prowadzimy dynamiczne projekty edukacyjne i wakacyjne dla dzieci i młodzieży (m.in. programowanie, kolonie, obozy, rejsy żeglarskie). Potrzebujemy kogoś, kto zadba o spójny wizerunek naszej marki w social mediach, stworzy angażujące treści i będzie regularnie publikował zaplanowany content.
- Prowadzenie kont na Facebooku i Instagramie (docelowo także TikTok, YouTube Shorts)
- Tworzenie grafik, rolek, postów i relacji (stories) zgodnych z harmonogramem i celami kampanii
- Publikowanie treści zgodnie z ustalonym planem tygodniowym
- Proponowanie nowych pomysłów na content – kreatywność mile widziana!
- Monitorowanie zaangażowania i reagowanie na komentarze / wiadomości
- Współpraca z osobą prowadzącą konta reklamowe
- Tworzenie spójnej i atrakcyjnej komunikacji wizualnej i tekstowej
Szukamy osoby:
- z doświadczeniem w prowadzeniu profili firm/organizacji w social mediach (portfolio wymagane)
- Samodzielnej i dobrze zorganizowanej – oczekujemy regularnej publikacji i proaktywnego działania
- Z umiejętnością tworzenia estetycznych grafik i montażu krótkich wideo (np. Canva, CapCut)
-  Z „lekkim piórem” – potrafisz pisać językiem dopasowanym do rodziców i młodzieży
-  Kreatywnej i na bieżąco z trendami w social media
-  Mile widziane doświadczenie w branży edukacyjnej, turystycznej lub informatycznej (kursy programowania)
Osoby zainteresowane prosimy o przesłanie:
-  kilka przykładów prowadzonych profili / postów / rolek (lub link do portfolio),
-  krótki opis swojego doświadczenia i dostępności czasowej,
-  informację o preferowanej formie współpracy i oczekiwaniach finansowych",
SACADA,Rekrutacja respondentów do wywiadów pogłębionych,"Poszukujemy rekruterów do umawiania wywiadów indywidualnych w badaniach społecznych. Badani to różni specjaliści, naukowcy, przedsiębiorcy oraz osoby prywatne.",Do negocjacji,Badanie rynku,1,Znika za 30 dni,"https://useme.com/pl/jobs/rekrutacja-respondentow-do-wywiadow-pogebionych,115633/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Poszukujemy rekruterów do umawiania wywiadów indywidualnych w badaniach społecznych. Badani to różni specjaliści, naukowcy, przedsiębiorcy oraz osoby prywatne.
Poszukujemy rekruterów do umawiania wywiadów indywidualnych w badaniach społecznych. Badani to różni specjaliści, naukowcy, przedsiębiorcy oraz osoby prywatne.",
pudi,Integracja plików produktowych na platormie ideosell,"Prowadzę sklepem internetowym z oświetleniem na platformie idosell
Zlecę integrację plików produktowych na platformie ideosell przez 
IdoSell Downloader - automatyczny import, aktualizacja oferty i integracja z dostawcami 
Wymagane  doświadczenie...",Do negocjacji,Oprogramowanie,2,Znika za 30 dni,"https://useme.com/pl/jobs/integracja-plikow-produktowych-na-platormie-ideosell,115632/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Prowadzę sklepem internetowym z oświetleniem na platformie idosell
Zlecę integrację plików produktowych na platformie ideosell przez 
IdoSell Downloader - automatyczny import, aktualizacja oferty i integracja z dostawcami 
Wymagane  doświadczenie z platformą idosell
Prosze o podanie stawki godzinowej
Prowadzę sklepem internetowym z oświetleniem na platformie idosell
Zlecę integrację plików produktowych na platformie ideosell przez
IdoSell Downloader - automatyczny import, aktualizacja oferty i integracja z dostawcami
Wymagane  doświadczenie z platformą idosell
Prosze o podanie stawki godzinowej",
